"AUSTRALIAN WOOLSHED","KVR545","QLD - Brisbane City Council","-27.3944","152.9307"
"AVALON BC","566172","NSW - Sydney Water Corporation (Sydney Water)","-33.6344","151.3271"
"AVOCA @ AMPHITHEATRE","408202","VIC - Department of Energy, Environment and Climate Action","-37.18179703","143.4058251"
"AVOCA @ ARCHDALE","408206","VIC - Department of Energy, Environment and Climate Action","-36.88473812","143.5030939"
"AVOCA @ CHARLTON","408212","VIC - Department of Energy, Environment and Climate Action","-36.25380216","143.3774657"
"AVOCA @ QUAMBATOOK","408203","VIC - Department of Energy, Environment and Climate Action","-35.90616922","143.5121865"
"AVOCA @SANDHILL L RD","408209","VIC - Department of Energy, Environment and Climate Action","-35.73397305","143.6846113"
"AVOCA R @ CHARLTON T","408219","VIC - Department of Energy, Environment and Climate Action","-36.267109","143.34874"
"AVOCA R @ COONOOER","408200","VIC - Department of Energy, Environment and Climate Action","-36.4379661","143.2983437"
"AVOCA R O/F TRESCO","408213","VIC - Department of Energy, Environment and Climate Action","-35.47242435","143.6805991"
"AVON @ CHANNEL","225224","VIC - Department of Energy, Environment and Climate Action","-37.80184085","146.8849073"
"AVON @ CHANNEL","225224A","VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water)","-37.80184085","146.8849073"
"AVON @ STRATFORD","225201A","VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water)","-37.9685868","147.0760061"
"AVON @ STRATFORD","225201","VIC - Department of Energy, Environment and Climate Action","-37.9685868","147.0760061"
"AVON D/S WAUKIVORY","208028","NSW - Water NSW","-32.042587755","151.967789796"
"AVON DAM","568046","NSW - Water NSW","-34.35264","150.63249"
"AVON DAM","212211","NSW - Water NSW","-34.35093233","150.64050046"
"AVON R @ CHINN'S BR","225234","VIC - Department of Energy, Environment and Climate Action","-38.0238042","147.1736143"
"AVON R @ CHINN'S BR","225234B","VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water)","-38.0238042","147.1736143"
"AVON R @WIMMERA HWY","415220","VIC - Department of Energy, Environment and Climate Action","-36.64058","142.97865"
"AVON R. @ AVON WEIR","212210","NSW - Water NSW","-34.339236","150.650347"
"AVON TOWER TBRG","568057","NSW - Water NSW","-34.372372","150.611749"
"AVON U/S VALENCIA C","225255","VIC - Department of Energy, Environment and Climate Action","-37.8216","146.981"
